Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.8883,Mon Jun 11 00:50:18 +0000 2018,0.0,0.433,@CBS,0.567,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,72
0.9134,Mon Jun 11 00:45:14 +0000 2018,0.0,0.387,@CBS,0.613,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,73
0.0,Mon Jun 11 00:44:36 +0000 2018,0.0,1.0,@CBS,0.0,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,74
0.25,Mon Jun 11 00:35:41 +0000 2018,0.0,0.92,@CBS,0.08,"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",75
0.4588,Mon Jun 11 00:34:45 +0000 2018,0.0,0.85,@CBS,0.15,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,76
0.0,Mon Jun 11 00:31:28 +0000 2018,0.0,1.0,@CBS,0.0,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",77
0.3612,Mon Jun 11 00:27:42 +0000 2018,0.0,0.737,@CBS,0.263,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,78
0.8908,Mon Jun 11 00:27:00 +0000 2018,0.0,0.43,@CBS,0.57,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,79
0.0,Mon Jun 11 00:24:31 +0000 2018,0.0,1.0,@CBS,0.0,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,80
0.0,Mon Jun 11 00:22:15 +0000 2018,0.0,1.0,@CBS,0.0,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,81
